Wall time,Step,Value
1718344684.7465394,4158,10.354000091552734
1718345347.9314492,8317,8.743000030517578
1718346001.5930169,12476,8.163999557495117
1718346699.6877654,16635,7.896999835968018
1718347405.9979632,20794,7.735000133514404
